participant_id,frame,question,main,follow_up,choice,evaluation
110,loss,Disease,True,,1,100
110,loss,Unemployment,True,,0,100
110,loss,Painting,True,,1,100
110,loss,Virus,True,,1,100
112,gain,Disease,True,,0,50
112,gain,Unemployment,True,,1,100
112,gain,Painting,True,,0,50
112,gain,Virus,True,,0,50
114,loss,Disease,True,,1,62
114,loss,Unemployment,True,,0,75
114,loss,Painting,True,,1,60
114,loss,Virus,True,,1,56
117,loss,Disease,True,,0,67
117,loss,Unemployment,True,,0,82
117,loss,Painting,True,,1,61
117,loss,Virus,True,,1,59
118,gain,Disease,True,,0,20
118,gain,Unemployment,True,,1,60
118,gain,Painting,True,,0,70
118,gain,Virus,True,,0,69
119,loss,Disease,True,,0,90
119,loss,Unemployment,True,,0,100
119,loss,Painting,True,,1,84
119,loss,Virus,True,,2,50
119,loss,Virus,,True,1,60
122,loss,Disease,True,,1,45
122,loss,Unemployment,True,,0,90
122,loss,Painting,True,,2,50
122,loss,Painting,,True,1,10
122,loss,Virus,True,,1,22
123,loss,Disease,True,,1,28
123,loss,Unemployment,True,,0,78
123,loss,Painting,True,,2,18
123,loss,Painting,,True,1,64
123,loss,Virus,True,,1,62
125,gain,Disease,True,,0,60
125,gain,Unemployment,True,,1,90
125,gain,Painting,True,,0,100
125,gain,Virus,True,,0,70
129,gain,Disease,True,,1,31
129,gain,Unemployment,True,,1,80
129,gain,Painting,True,,0,100
129,gain,Virus,True,,1,85
130,gain,Disease,True,,0,70
130,gain,Unemployment,True,,1,80
130,gain,Painting,True,,0,70
130,gain,Virus,True,,0,60
132,gain,Disease,True,,0,61
132,gain,Unemployment,True,,1,45
132,gain,Painting,True,,1,56
132,gain,Virus,True,,1,58
134,gain,Disease,True,,0,75
134,gain,Unemployment,True,,1,52
134,gain,Painting,True,,0,89
134,gain,Virus,True,,0,74
138,gain,Disease,True,,1,28
138,gain,Unemployment,True,,1,70
138,gain,Painting,True,,0,88
138,gain,Virus,True,,1,57
139,loss,Disease,True,,1,60
139,loss,Unemployment,True,,0,90
139,loss,Painting,True,,0,79
139,loss,Virus,True,,1,62
140,gain,Disease,True,,2,19
140,gain,Disease,,True,0,29
140,gain,Unemployment,True,,1,33
140,gain,Painting,True,,0,59
140,gain,Virus,True,,2,21
140,gain,Virus,,True,0,44
142,loss,Disease,True,,2,30
142,loss,Disease,,True,0,35
142,loss,Unemployment,True,,0,90
142,loss,Painting,True,,2,80
142,loss,Painting,,True,1,50
142,loss,Virus,True,,2,30
142,loss,Virus,,True,0,10
144,gain,Disease,True,,0,90
144,gain,Unemployment,True,,1,55
144,gain,Painting,True,,1,80
144,gain,Virus,True,,2,0
144,gain,Virus,,True,0,40
145,gain,Disease,True,,0,62
145,gain,Unemployment,True,,1,70
145,gain,Painting,True,,2,28
145,gain,Painting,,True,0,60
145,gain,Virus,True,,0,59
146,loss,Disease,True,,1,1
146,loss,Unemployment,True,,0,18
146,loss,Painting,True,,1,0
146,loss,Virus,True,,1,5
147,loss,Disease,True,,1,60
147,loss,Unemployment,True,,0,80
147,loss,Painting,True,,1,70
147,loss,Virus,True,,1,60
148,loss,Disease,True,,1,70
148,loss,Unemployment,True,,0,95
148,loss,Painting,True,,1,75
148,loss,Virus,True,,1,60
150,loss,Disease,True,,0,55
150,loss,Unemployment,True,,0,82
150,loss,Painting,True,,0,72
150,loss,Virus,True,,1,53
154,gain,Disease,True,,0,40
